"","Label","AUC","Pyr","Cond","umol","mol","mass.13C.g","perc.mass","perc.mol"
"S1.P1","S1.P1",12264.8477206466,"C1","Drought",385.312455991835,0.000385312455991835,0.00500906192789385,33.9635131004164,33.9635131004164
"S1.P3","S1.P3",4986.8254181946,"C1","Drought",156.666107338002,0.000156666107338002,0.00203665939539402,13.8093936653795,13.8093936653795
"S1.P5","S1.P5",5048.41336334023,"C1","Drought",158.600954222697,0.000158600954222697,0.00206181240489506,13.9799414805195,13.9799414805195
"S2.P1","S2.P1",14298.0433444888,"C1","Drought",449.187329710461,0.000449187329710461,0.00583943528623599,39.5937881579555,39.5937881579555
"S2.P3","S2.P3",8350.55971490837,"C1","Drought",262.341184003561,0.000262341184003561,0.0034104353920463,23.1241635226879,23.124163522688
"S2.P5","S2.P5",6194.77165855563,"C1","Drought",194.614946425184,0.000194614946425184,0.00252999430352739,17.154408531731,17.154408531731
"S3.P1","S3.P1",7992.19336638266,"C1","Drought",251.082746798278,0.000251082746798278,0.00326407570837761,22.1317842897675,22.1317842897675
"S3.P3","S3.P3",12395.4974372187,"C1","Drought",389.416947487664,0.000389416947487664,0.00506242031733963,34.3253050656678,34.3253050656678
"S3.P5","S3.P5",20816.6166651613,"C1","Drought",653.974829152707,0.000653974829152707,0.00850167277898519,57.6448602475005,57.6448602475005
"S1.P11","S1.P1",20569.8744478154,"C1","Pre_Drought",646.223175652569,0.000646223175652569,0.0084009012834834,56.9615877991076,56.9615877991076
"S1.P31","S1.P3",20448.2747844224,"C1","Pre_Drought",642.403000627414,0.000642403000627415,0.00835123900815639,56.6248570173873,56.6248570173873
"S1.P51","S1.P5",24385.7052265309,"C1","Pre_Drought",766.101315396694,0.000766101315396694,0.00995931710015702,67.5282920577921,67.5282920577921
"S2.P11","S2.P1",21416.1637424815,"C1","Pre_Drought",672.8102001338,0.0006728102001338,0.0087465326017394,59.3051111922068,59.3051111922068
"S2.P31","S2.P3",19739.8470862579,"C1","Pre_Drought",620.147036061878,0.000620147036061878,0.00806191146880442,54.6630965491505,54.6630965491505
"S2.P7","S2.P7",21377.2531112844,"C1","Pre_Drought",671.58778374411,0.00067158778374411,0.00873064118867344,59.1973608342317,59.1973608342317
"S3.P11","S3.P1",31761.1180290862,"C1","Pre_Drought",997.807284001773,0.000997807284001773,0.012971494692023,87.9521028580587,87.9521028580587
"S3.P31","S3.P3",24085.0997210834,"C1","Pre_Drought",756.657492837557,0.000756657492837557,0.00983654740688824,66.6958627235792,66.6958627235792
"S3.P51","S3.P5",18186.7672405433,"C1","Pre_Drought",571.355479628908,0.000571355479628908,0.00742762123517581,50.3623462351352,50.3623462351352
"S1.P2","S1.P2",8116.56843354897,"C2","Drought",254.990113908375,0.000254990113908375,0.00331487148080887,22.4762006510043,22.4762006510043
"S1.P4","S1.P4",6880.20597701715,"C2","Drought",216.148550973971,0.000216148550973971,0.00280993116266162,19.0524963013291,19.0524963013291
"S1.P6","S1.P6",1214.51135318448,"C2","Drought",38.1550886716438,3.81550886716438e-05,0.000496016152731369,3.36319481448163,3.36319481448163
"S2.P2","S2.P2",890.749079076386,"C2","Drought",27.9837730682637,2.79837730682637e-05,0.000363789049887429,2.4666403289677,2.4666403289677
"S2.P4","S2.P4",3108.43653702285,"C2","Drought",97.6546422471099,9.76546422471099e-05,0.00126951034921243,8.60780561256102,8.60780561256102
"S2.P6","S2.P6",3853.72485872901,"C2","Drought",121.068620161831,0.000121068620161831,0.0015738920621038,10.6716396082529,10.6716396082529
"S3.P2","S3.P2",6018.22828262006,"C2","Drought",189.068659726792,0.000189068659726792,0.00245789257644829,16.6655289795384,16.6655289795384
"S3.P4","S3.P4",3214.91123235765,"C2","Drought",100.999651275748,0.000100999651275748,0.00131299546658472,8.90265270664917,8.90265270664917
"S3.P6","S3.P6",2731.24322103221,"C2","Drought",85.8047370319478,8.58047370319478e-05,0.00111546158141532,7.56329120677089,7.56329120677089
"S1.P21","S1.P2",6072.20254782494,"C2","Pre_Drought",190.764315242468,0.000190764315242468,0.00247993609815209,16.8149931804095,16.8149931804095
"S1.P41","S1.P4",7387.64103420479,"C2","Pre_Drought",232.090130730578,0.000232090130730578,0.00301717169949751,20.4576729170478,20.4576729170478
"S1.P61","S1.P6",7597.72430706708,"C2","Pre_Drought",238.690106830819,0.000238690106830819,0.00310297138880065,21.0394303226473,21.0394303226473
"S2.P41","S2.P4",8159.63230271584,"C2","Pre_Drought",256.343008422121,0.000256343008422121,0.00333245910948757,22.5954520528901,22.5954520528901
"S2.P61","S2.P6",8783.91920712307,"C2","Pre_Drought",275.955605810978,0.000275955605810978,0.00358742287554272,24.3242119151557,24.3242119151557
"S2.P8","S2.P8",5665.88220018059,"C2","Pre_Drought",177.999355200873,0.000177999355200873,0.00231399161761135,15.6898209186329,15.6898209186329
"S3.P21","S3.P2",7126.67814825418,"C2","Pre_Drought",223.891720705553,0.000223891720705553,0.00291059236917219,19.7350209447134,19.7350209447134
"S3.P41","S3.P4",8562.23261516746,"C2","Pre_Drought",268.991099838101,0.000268991099838101,0.00349688429789531,23.7103228851764,23.7103228851764
"S3.P61","S3.P6",9262.35813594649,"C2","Pre_Drought",290.986243198895,0.000290986243198895,0.00378282116158564,25.6490931690411,25.6490931690411
